Time, Forces
   0.000000, 16631.982076
   0.001667, 16614.087171
   0.003333, 16596.278343
   0.005000, 16578.482341
   0.006667, 16560.686339
   0.008333, 16542.890337
   0.010000, 16525.094335
   0.011667, 16507.298333
   0.013333, 16489.502331
   0.015000, 16471.706329
   0.016667, 16453.910327
   0.018333, 16436.114325
   0.020000, 16418.509364
   0.021667, 16400.928256
   0.023333, 16383.347149
   0.025000, 16365.766041
   0.026667, 16348.184934
   0.028333, 16330.603826
   0.030000, 16313.022719
   0.031667, 16295.441611
   0.033333, 16277.860503
   0.035000, 16260.279396
   0.036667, 16242.895143
   0.038333, 16225.535469
   0.040000, 16208.175796
   0.041667, 16190.816122
   0.043333, 16173.456448
   0.045000, 16156.096775
   0.046667, 16138.737101
   0.048333, 16121.377427
   0.050000, 16104.017754
   0.051667, 16086.658080
   0.053333, 16069.500695
   0.055000, 16052.368568
   0.056667, 16035.236441
   0.058333, 16018.104313
   0.060000, 16000.972186
   0.061667, 15983.840059
   0.063333, 15966.707932
   0.065000, 15949.575804
   0.066667, 15932.443677
   0.068333, 15915.311550
   0.070000, 15898.386763
   0.071667, 15881.487866
   0.073333, 15864.588968
   0.075000, 15847.690070
   0.076667, 15830.791172
   0.078333, 15813.892274
   0.080000, 15796.993376
   0.081667, 15780.094478
   0.083333, 15763.195580
   0.085000, 15746.296682
   0.086667, 15724.186509
   0.088333, 15701.425658
   0.090000, 15678.664808
   0.091667, 15655.903957
   0.093333, 15633.143107
   0.095000, 15610.382256
   0.096667, 15587.621406
   0.098333, 15564.860556
   0.100000, 15542.099705
   0.101667, 15519.338855
   0.103333, 15495.618853
   0.105000, 15471.779092
   0.106667, 15447.939332
   0.108333, 15424.099571
   0.110000, 15400.259810
   0.111667, 15376.420050
   0.113333, 15352.580289
   0.115000, 15328.740528
   0.116667, 15304.900767
   0.118333, 15281.061007
   0.120000, 15257.652311
   0.121667, 15234.297437
   0.123333, 15210.942563
   0.125000, 15187.587690
   0.126667, 15164.232816
   0.128333, 15140.877942
   0.130000, 15117.523069
   0.131667, 15094.168195
   0.133333, 15070.813321
   0.135000, 15047.458447
   0.136667, 15024.535593
   0.138333, 15001.666681
   0.140000, 14978.797768
   0.141667, 14955.928856
   0.143333, 14933.059943
   0.145000, 14910.191031
   0.146667, 14887.322118
   0.148333, 14864.453206
   0.150000, 14841.584293
   0.151667, 14818.715381
   0.153333, 14796.278817
   0.155000, 14773.896236
   0.156667, 14751.513655
   0.158333, 14729.131073
   0.160000, 14706.748492
   0.161667, 14684.365911
   0.163333, 14661.983330
   0.165000, 14639.600749
   0.166667, 14617.218168
   0.168333, 14594.835586
   0.170000, 14572.885082
   0.171667, 14550.988527
   0.173333, 14529.091971
   0.175000, 14507.195416
   0.176667, 14485.298860
   0.178333, 14463.402305
   0.180000, 14441.505750
   0.181667, 14419.609194
   0.183333, 14397.712639
   0.185000, 14375.816083
   0.186667, 14346.804005
   0.188333, 14316.903488
   0.190000, 14287.002970
   0.191667, 14257.102452
   0.193333, 14227.201935
   0.195000, 14197.301417
   0.196667, 14167.400900
   0.198333, 14137.500382
   0.200000, 14107.599864
   0.201667, 14077.699347
   0.203333, 14048.223209
   0.205000, 14018.800058
   0.206667, 13989.376908
   0.208333, 13959.953758
   0.210000, 13930.530607
   0.211667, 13901.107457
   0.213333, 13871.684307
   0.215000, 13842.261157
   0.216667, 13812.838006
   0.218333, 13783.414856
   0.220000, 13754.774458
   0.221667, 13726.231794
   0.223333, 13697.689131
   0.225000, 13669.146467
   0.226667, 13640.603803
   0.228333, 13612.061139
   0.230000, 13583.518475
   0.231667, 13554.975811
   0.233333, 13526.433147
   0.235000, 13497.890484
   0.236667, 13470.117277
   0.238333, 13442.440145
   0.240000, 13414.763013
   0.241667, 13387.085881
   0.243333, 13359.408749
   0.245000, 13331.731617
   0.246667, 13304.054485
   0.248333, 13276.377353
   0.250000, 13248.700221
   0.251667, 13221.023089
   0.253333, 13194.101603
   0.255000, 13167.274467
   0.256667, 13140.447330
   0.258333, 13113.620194
   0.260000, 13086.793057
   0.261667, 13059.965921
   0.263333, 13033.138784
   0.265000, 13006.311648
   0.266667, 12979.484511
   0.268333, 12952.657375
   0.270000, 12926.571621
   0.271667, 12900.578435
   0.273333, 12874.585249
   0.275000, 12848.592063
   0.276667, 12822.598878
   0.278333, 12796.605692
   0.280000, 12770.612506
   0.281667, 12744.619321
   0.283333, 12718.626135
   0.285000, 12692.632949
   0.286667, 12667.384972
   0.288333, 12642.230041
   0.290000, 12617.075110
   0.291667, 12591.920179
   0.293333, 12566.765247
   0.295000, 12541.610316
   0.296667, 12516.455385
   0.298333, 12491.300454
   0.300000, 12466.145523
   0.301667, 12440.990592
   0.303333, 12416.787859
   0.305000, 12392.704016
   0.306667, 12368.620173
   0.308333, 12344.536330
   0.310000, 12320.452488
   0.311667, 12296.368645
   0.312642, 12282.275302
   0.314309, 12258.575068
   0.315975, 12234.874834
   0.317642, 12211.174600
   0.319309, 12187.863043
   0.320975, 12164.982496
   0.322642, 12142.101948
   0.324309, 12119.221401
   0.325975, 12096.340853
   0.327642, 12073.460305
   0.329309, 12050.579758
   0.330975, 12027.699210
   0.332642, 12004.818663
   0.334309, 11981.938115
   0.335975, 11959.709960
   0.337642, 11938.205251
   0.339309, 11916.700543
   0.340975, 11895.195834
   0.342642, 11873.691125
   0.344309, 11852.186416
   0.345975, 11830.681707
   0.347642, 11809.176998
   0.349309, 11787.672289
   0.350975, 11766.167580
   0.352642, 11745.396303
   0.354309, 11725.438335
   0.355975, 11705.480367
   0.357642, 11685.522399
   0.359309, 11665.564432
   0.360975, 11645.606464
   0.362642, 11625.648496
   0.364309, 11605.690528
   0.365975, 11585.732561
   0.367642, 11565.774593
   0.368518, 11555.280261
   0.370185, 11542.830440
   0.371852, 11530.380619
   0.373518, 11517.930798
   0.375185, 11505.480977
   0.376852, 11493.031156
   0.378518, 11480.581335
   0.380185, 11468.131514
   0.381852, 11455.681693
   0.383518, 11443.231872
   0.385185, 11430.782051
   0.386852, 11424.281170
   0.388518, 11417.780289
   0.390185, 11411.279409
   0.391852, 11404.778528
   0.393518, 11398.277647
   0.395185, 11394.960899
   0.396852, 11391.644151
   0.398518, 11388.327402
   0.400185, 11385.010654
   0.401852, 11381.693906
   0.403518, 11381.720255
   0.405185, 11381.746605
   0.406852, 11381.772954
   0.408518, 11381.799304
   0.410185, 11381.825654
   0.410185, 7258.321578
   1.605400, 7056.527752
   2.825139, 6867.679053
   4.084250, 6600.086171
   5.433948, 6186.079638
   6.920962, 5802.152552
   8.567151, 5454.548955
  10.405942, 5120.511927
  12.496124, 4793.974496
  14.982109, 4422.048786
  14.982109, 3471.168996
  15.801212, 3470.394792
  16.620315, 3469.620715
  17.439418, 3468.846763
  18.258522, 3468.072937
  19.077625, 3467.299237
  19.896728, 3466.525663
  20.715832, 3465.752214
  21.534935, 3464.978892
  22.354038, 3464.205695
  23.173141, 3463.432623
  23.992245, 3462.659678
  24.811348, 3461.886858
  25.630451, 3461.114164
  26.449554, 3460.341596
  27.268658, 3459.569154
  28.087761, 3458.796838
  28.906864, 3458.024647
  29.725967, 3457.252582
  30.545071, 3456.480643
  31.364174, 3455.708830
  32.183277, 3454.937142
  33.002380, 3454.165580
  33.821484, 3453.394144
  34.640587, 3452.622834
  35.459690, 3451.851650
  36.278793, 3451.080591
  37.097897, 3450.309658
  37.917000, 3449.538851
  38.736103, 3448.768170
  38.736103, 1620.336427
  39.896032, 1532.739498
  41.058764, 1472.364067
  42.220084, 1402.341080
  43.376236, 1322.887270
  44.524976, 1236.602560
  45.661995, 1137.838158
  46.783206, 1025.629484
  47.900611,  941.201632
  49.010509,  845.083260
  49.010509, 7100.404410
  49.589924, 7002.643062
  50.174964, 6908.201372
  50.765469, 6817.212116
  51.364214, 6692.499116
  51.981985, 6481.747974
  52.628108, 6274.536230
  53.305596, 6071.008467
  54.016769, 5880.551943
  54.763442, 5699.600252
  54.763442, 2773.573754
  56.615618, 2771.152755
  58.468603, 2768.732689
  60.322397, 2766.313557
  62.177002, 2763.895360
  64.032418, 2761.478101
  65.888646, 2759.061780
  67.745686, 2756.646400
  69.603540, 2754.231962
  71.462208, 2751.818468
  71.462208, 1326.481852
  72.108615, 1350.269450
  72.744854, 1272.719454
  73.383630, 1245.442103
  74.025084, 1218.650891
  74.669359, 1192.392636
  75.316244, 1165.214016
  75.965602, 1137.395621
  76.616971, 1107.558509
  77.269434, 1073.710458
  77.269434, 2745.808541
  82.269434, 2739.423927
  87.269434, 2733.051785
  92.269434, 2726.752634
  97.269434, 2720.626166
 102.269434, 2714.511280
 107.269434, 2708.407964
 112.269434, 2702.316204
 117.269434, 2696.235989
 122.269434, 2690.167307
 122.269434, 2268.866906
 122.271101, 2268.866906
 122.272767, 2268.866906
 122.274434, 2268.866906
 122.276101, 2268.866906
 122.277767, 2268.866906
 122.279434, 2268.866906
 122.281101, 2268.866906
 122.282767, 2268.866906
 122.284434, 2268.866906
 122.286101, 2268.866906
 122.287767, 2268.866906
 122.289434, 2268.866906
 122.291101, 2268.866906
 122.292767, 2268.866906
 122.294434, 2268.866906
 122.296101, 2268.866906
 122.297767, 2268.866906
 122.299434, 2268.866906
 122.301101, 2268.866906
 122.302767, 2268.866906
 122.304434, 2268.866906
 122.306101, 2268.866906
 122.307767, 2268.866906
 122.309434, 2268.866906
 122.311101, 2268.866906
 122.312767, 2268.866906
 122.314434, 2268.866906
 122.316101, 2268.866906
 122.317767, 2268.866906
 122.319434, 2268.866906
 122.321101, 2268.866906
 122.322767, 2268.866906
 122.324434, 2268.866906
 122.326101, 2268.866906
 122.327767, 2268.866906
 122.329434, 2268.866906
 122.331101, 2268.866906
 122.332767, 2268.866906
 122.334434, 2268.866906
 122.336101, 2268.866906
 122.337767, 2268.866906
 122.339434, 2268.866906
 122.341101, 2268.866906
 122.342767, 2268.866906
 122.344434, 2268.866906
 122.346101, 2268.866906
 122.347767, 2268.866906
 122.349434, 2268.866906
 122.351101, 2268.866906
 122.352767, 2268.866906
 122.354434, 2268.866906
 122.356101, 2268.866906
 122.357767, 2268.866906
 122.359434, 2268.866906
 122.361101, 2268.866906
 122.362767, 2268.866906
 122.364434, 2268.866906
 122.366101, 2268.866906
 122.367767, 2268.866906
 122.369434, 2268.866906
 122.371101, 2268.866906
 122.372767, 2268.866906
 122.374434, 2268.866906
 122.376101, 2268.866906
 122.377767, 2268.866906
 122.379434, 2268.866906
 122.381101, 2268.866906
 122.382767, 2268.866906
 122.384434, 2268.866906
 122.386101, 2268.866906
 122.387767, 2268.866906
 122.389434, 2268.866906
 122.391101, 2268.866906
 122.392767, 2268.866906
 122.394434, 2268.866906
 122.396101, 2268.866906
 122.397767, 2268.866906
 122.399434, 2268.866906
 122.401101, 2268.866906
 122.402767, 2268.866906
 122.404434, 2268.866906
 122.406101, 2268.866906
 122.407767, 2268.866906
 122.409434, 2268.866906
 122.411101, 2268.866906
 122.412767, 2268.866906
 122.414434, 2268.866906
 122.416101, 2268.866906
 122.417767, 2268.866906
 122.419434, 2268.866906
 122.421101, 2268.866906
 122.422767, 2268.866906
 122.424434, 2268.866906
 122.426101, 2268.866906
 122.427767, 2268.866906
 122.429434, 2268.866906
 122.431101, 2268.866906
 122.432767, 2268.866906
 122.434434, 2268.866906
 122.436101, 2268.866906
 122.437767, 2268.866906
 122.439434, 2268.866906
 122.441101, 2268.866906
 122.442767, 2268.866906
 122.444434, 2268.866906
 122.446101, 2268.866906
 122.447767, 2268.866906
 122.449434, 2268.866906
 122.451101, 2268.866906
 122.452767, 2268.866906
 122.454434, 2268.866906
 122.456101, 2268.866906
 122.457767, 2268.866906
 122.459434, 2268.866906
 122.461101, 2268.866906
 122.462767, 2268.866906
 122.464434, 2268.866906
 122.466101, 2268.866906
 122.467767, 2268.866906
 122.469434, 2268.866906
 122.471101, 2268.866906
 122.472767, 2268.866906
 122.474434, 2268.866906
 122.476101, 2268.866906
 122.477767, 2268.866906
 122.479434, 2268.866906
 122.481101, 2268.866906
 122.482767, 2268.866906
 122.484434, 2268.866906
 122.486101, 2268.866906
 122.487767, 2268.866906
 122.489434, 2268.866906
 122.491101, 2268.866906
 122.492767, 2268.866906
 122.494434, 2268.866906
 122.496101, 2268.866906
 122.497767, 2268.866906
 122.499434, 2268.866906
 122.501101, 2268.866906
 122.502767, 2268.866906
 122.504434, 2268.866906
 122.506101, 2268.866906
 122.507767, 2268.866906
 122.509434, 2268.866906
 122.511101, 2268.866906
 122.512767, 2268.866906
 122.514434, 2268.866906
 122.516101, 2268.866906
 122.517767, 2268.866906
 122.519434, 2268.866906
 122.521101, 2268.866906
 122.522767, 2268.866906
 122.524434, 2268.866906
 122.526101, 2268.866906
 122.527767, 2268.866906
 122.529434, 2268.866906
 122.531101, 2268.866906
 122.532767, 2268.866906
 122.534434, 2268.866906
 122.536101, 2268.866906
 122.537767, 2268.866906
 122.539434, 2268.866906
 122.541101, 2268.866906
 122.542767, 2268.866906
 122.544434, 2268.866906
 122.546101, 2268.866906
 122.547767, 2268.866906
 122.549434, 2268.866906
 122.551101, 2268.866906
 122.552767, 2268.866906
 122.554434, 2268.866906
 122.556101, 2268.866906
 122.557767, 2268.866906
 122.559434, 2268.866906
 122.561101, 2268.866906
 122.562767, 2268.866906
 122.564434, 2268.866906
 122.566101, 2268.866906
 122.567767, 2268.866906
 122.569434, 2268.866906
 122.571101, 2268.866906
 122.572767, 2268.866906
 122.574434, 2268.866906
 122.576101, 2268.866906
 122.577767, 2268.866906
 122.579434, 2268.866906
 122.581101, 2268.866906
 122.582767, 2268.866906
 122.584434, 2268.866906
 122.586101, 2268.866906
 122.587767, 2268.866906
 122.589434, 2268.866906
 122.591101, 2268.866906
 122.592767, 2268.866906
 122.594434, 2268.866906
 122.596101, 2268.866906
 122.597767, 2268.866906
 122.599434, 2268.866906
 122.601101, 2268.866906
 122.602767, 2268.866906
 122.604434, 2268.866906
 122.606101, 2268.866906
 122.607767, 2268.866906
 122.609434, 2268.866906
 122.611101, 2268.866906
 122.612767, 2268.866906
 122.614434, 2268.866906
 122.616101, 2268.866906
 122.617767, 2268.866906
 122.619434, 2268.866906
 122.621101, 2268.866906
 122.622767, 2268.866906
 122.624434, 2268.866906
 122.626101, 2268.866906
 122.627767, 2268.866906
 122.629434, 2268.866906
 122.631101, 2268.866906
 122.632767, 2268.866906
 122.634434, 2268.866906
 122.636101, 2268.866906
 122.637767, 2268.866906
 122.639434, 2268.866906
 122.641101, 2268.866906
 122.642767, 2268.866906
 122.644434, 2268.866906
 122.646101, 2268.866906
 122.647767, 2268.866906
 122.649434, 2268.866906
 122.651101, 2268.866906
 122.652767, 2268.866906
 122.654434, 2268.866906
 122.656101, 2268.866906
 122.657767, 2268.866906
 122.659434, 2268.866906
 122.661101, 2268.866906
 122.662767, 2268.866906
 122.664434, 2268.866906
 122.666101, 2268.866906
 122.667767, 2268.866906
 122.669434, 2268.866906
 122.671101, 2268.866906
 122.672767, 2268.866906
 122.674434, 2268.866906
 122.676101, 2268.866906
 122.677767, 2268.866906
 122.679434, 2268.866906
 122.681101, 2268.866906
 122.682767, 2268.866906
 122.684434, 2268.866906
 122.686101, 2268.866906
 122.687767, 2268.866906
 122.689434, 2268.866906
 122.691101, 2268.866906
 122.692767, 2268.866906
 122.694434, 2268.866906
 122.696101, 2268.866906
 122.697767, 2268.866906
 122.699434, 2268.866906
 122.701101, 2268.866906
 122.702767, 2268.866906
 122.704434, 2268.866906
 122.706101, 2268.866906
 122.707767, 2268.866906
 122.709434, 2268.866906
 122.711101, 2268.866906
 122.712767, 2268.866906
 122.714434, 2268.866906
 122.716101, 2268.866906
 122.717767, 2268.866906
 122.719434, 2268.866906
 122.721101, 2268.866906
 122.722767, 2268.866906
 122.724434, 2268.866906
 122.726101, 2268.866906
 122.727767, 2268.866906
 122.729434, 2268.866906
 122.731101, 2268.866906
 122.732767, 2268.866906
 122.734434, 2268.866906
 122.736101, 2268.866906
 122.737767, 2268.866906
 122.739434, 2268.866906
 122.741101, 2268.866906
 122.742767, 2268.866906
 122.744434, 2268.866906
 122.746101, 2268.866906
 122.747767, 2268.866906
 122.749434, 2268.866906
 122.751101, 2268.866906
 122.752767, 2268.866906
 122.754434, 2268.866906
 122.756101, 2268.866906
 122.757767, 2268.866906
 122.759434, 2268.866906
 122.761101, 2268.866906
 122.762767, 2268.866906
 122.764434, 2268.866906
 122.766101, 2268.866906
 122.767767, 2268.866906
 122.769434, 2268.866906
 122.771101, 2268.866906
 122.772767, 2268.866906
 122.774434, 2268.866906
 122.776101, 2268.866906
 122.777767, 2268.866906
 122.779434, 2268.866906
 122.781101, 2268.866906
 122.782767, 2268.866906
 122.784434, 2268.866906
 122.786101, 2268.866906
 122.787767, 2268.866906
 122.789434, 2268.866906
 122.791101, 2268.866906
 122.792767, 2268.866906
 122.794434, 2268.866906
 122.796101, 2268.866906
 122.797767, 2268.866906
 122.799434, 2268.866906
 122.801101, 2268.866906
 122.802767, 2268.866906
 122.804434, 2268.866906
 122.806101, 2268.866906
 122.807767, 2268.866906
 122.809434, 2268.866906
 122.811101, 2268.866906
 122.812767, 2268.866906
 122.814434, 2268.866906
 122.816101, 2268.866906
 122.817767, 2268.866906
 122.819434, 2268.866906
 122.821101, 2268.866906
 122.822767, 2268.866906
 122.824434, 2268.866906
 122.826101, 2268.866906
 122.827767, 2268.866906
 122.829434, 2268.866906
 122.831101, 2268.866906
 122.832767, 2268.866906
 122.834434, 2268.866906
 122.836101, 2268.866906
 122.837767, 2268.866906
 122.839434, 2268.866906
 122.841101, 2268.866906
 122.842767, 2268.866906
 122.844434, 2268.866906
 122.846101, 2268.866906
 122.847767, 2268.866906
